CODIGO MUNICIPIO COMPLETO,NOMBRE MUNICIPIO,NOMBRE PROVINCIA,NOMBRE COMUNIDAD AUTÓNOMA
1001,Alegría-Dulantzi,Araba/Álava,País Vasco
1002,Amurrio,Araba/Álava,País Vasco
1049,Añana,Araba/Álava,País Vasco
1003,Aramaio,Araba/Álava,País Vasco
1006,Armiñón,Araba/Álava,País Vasco
1037,Arraia-Maeztu,Araba/Álava,País Vasco
1008,Arratzua-Ubarrundia,Araba/Álava,País Vasco
1004,Artziniega,Araba/Álava,País Vasco
1009,Asparrena,Araba/Álava,País Vasco
1010,Ayala/Aiara,Araba/Álava,País Vasco
1011,Baños de Ebro/Mañueta,Araba/Álava,País Vasco
1013,Barrundia,Araba/Álava,País Vasco
1014,Berantevilla,Araba/Álava,País Vasco
1016,Bernedo,Araba/Álava,País Vasco
1017,Campezo/Kanpezu,Araba/Álava,País Vasco
1021,Elburgo/Burgelu,Araba/Álava,País Vasco
1022,Elciego,Araba/Álava,País Vasco
1023,Elvillar/Bilar,Araba/Álava,País Vasco
1046,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
1056,Harana/Valle de Arana,Araba/Álava,País Vasco
1901,Iruña Oka/Iruña de Oca,Araba/Álava,País Vasco
1027,Iruraiz-Gauna,Araba/Álava,País Vasco
1019,Kripan,Araba/Álava,País Vasco
1020,Kuartango,Araba/Álava,País Vasco
1028,Labastida/Bastida,Araba/Álava,País Vasco
1030,Lagrán,Araba/Álava,País Vasco
1031,Laguardia,Araba/Álava,País Vasco
1032,Lanciego/Lantziego,Araba/Álava,País Vasco
1902,Lantarón,Araba/Álava,País Vasco
1033,Lapuebla de Labarca,Araba/Álava,País Vasco
1036,Laudio/Llodio,Araba/Álava,País Vasco
1058,Legutio,Araba/Álava,País Vasco
1034,Leza,Araba/Álava,País Vasco
1039,Moreda de Álava/Moreda Araba,Araba/Álava,País Vasco
1041,Navaridas,Araba/Álava,País Vasco
1042,Okondo,Araba/Álava,País Vasco
1043,Oyón-Oion,Araba/Álava,País Vasco
1044,Peñacerrada-Urizaharra,Araba/Álava,País Vasco
1047,Ribera Baja/Erribera Beitia,Araba/Álava,País Vasco
1051,Salvatierra/Agurain,Araba/Álava,País Vasco
1052,Samaniego,Araba/Álava,País Vasco
1053,San Millán/Donemiliaga,Araba/Álava,País Vasco
1054,Urkabustaiz,Araba/Álava,País Vasco
1055,Valdegovía/Gaubea,Araba/Álava,País Vasco
1057,Villabuena de Álava/Eskuernaga,Araba/Álava,País Vasco
1059,Vitoria-Gasteiz,Araba/Álava,País Vasco
1060,Yécora/Iekora,Araba/Álava,País Vasco
1061,Zalduondo,Araba/Álava,País Vasco
1062,Zambrana,Araba/Álava,País Vasco
1018,Zigoitia,Araba/Álava,País Vasco
1063,Zuia,Araba/Álava,País Vasco
2001,Abengibre,Albacete,Castilla-La Mancha
2002,Alatoz,Albacete,Castilla-La Mancha
2003,Albacete,Albacete,Castilla-La Mancha
2004,Albatana,Albacete,Castilla-La Mancha
2005,Alborea,Albacete,Castilla-La Mancha
2006,Alcadozo,Albacete,Castilla-La Mancha
2007,Alcalá del Júcar,Albacete,Castilla-La Mancha
2008,Alcaraz,Albacete,Castilla-La Mancha
2009,Almansa,Albacete,Castilla-La Mancha
2010,Alpera,Albacete,Castilla-La Mancha
2011,Ayna,Albacete,Castilla-La Mancha
2012,Balazote,Albacete,Castilla-La Mancha
2014,"Ballestero, El",Albacete,Castilla-La Mancha
2013,Balsa de Ves,Albacete,Castilla-La Mancha
2015,Barrax,Albacete,Castilla-La Mancha
2016,Bienservida,Albacete,Castilla-La Mancha
2017,Bogarra,Albacete,Castilla-La Mancha
2018,Bonete,Albacete,Castilla-La Mancha
2019,"Bonillo, El",Albacete,Castilla-La Mancha
2020,Carcelén,Albacete,Castilla-La Mancha
2021,Casas de Juan Núñez,Albacete,Castilla-La Mancha
2022,Casas de Lázaro,Albacete,Castilla-La Mancha
2023,Casas de Ves,Albacete,Castilla-La Mancha
2024,Casas-Ibáñez,Albacete,Castilla-La Mancha
2025,Caudete,Albacete,Castilla-La Mancha
2026,Cenizate,Albacete,Castilla-La Mancha
2029,Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha
2027,Corral-Rubio,Albacete,Castilla-La Mancha
2028,Cotillas,Albacete,Castilla-La Mancha
2030,Elche de la Sierra,Albacete,Castilla-La Mancha
2031,Férez,Albacete,Castilla-La Mancha
2032,Fuensanta,Albacete,Castilla-La Mancha
2033,Fuente-Álamo,Albacete,Castilla-La Mancha
2034,Fuentealbilla,Albacete,Castilla-La Mancha
2035,"Gineta, La",Albacete,Castilla-La Mancha
2036,Golosalvo,Albacete,Castilla-La Mancha
2037,Hellín,Albacete,Castilla-La Mancha
2038,"Herrera, La",Albacete,Castilla-La Mancha
2039,Higueruela,Albacete,Castilla-La Mancha
2040,Hoya-Gonzalo,Albacete,Castilla-La Mancha
2041,Jorquera,Albacete,Castilla-La Mancha
2042,Letur,Albacete,Castilla-La Mancha
2043,Lezuza,Albacete,Castilla-La Mancha
2044,Liétor,Albacete,Castilla-La Mancha
2045,Madrigueras,Albacete,Castilla-La Mancha
2046,Mahora,Albacete,Castilla-La Mancha
2047,Masegoso,Albacete,Castilla-La Mancha
2048,Minaya,Albacete,Castilla-La Mancha
2049,Molinicos,Albacete,Castilla-La Mancha
2050,Montalvos,Albacete,Castilla-La Mancha
2051,Montealegre del Castillo,Albacete,Castilla-La Mancha
2052,Motilleja,Albacete,Castilla-La Mancha
2053,Munera,Albacete,Castilla-La Mancha
2054,Navas de Jorquera,Albacete,Castilla-La Mancha
2055,Nerpio,Albacete,Castilla-La Mancha
2056,Ontur,Albacete,Castilla-La Mancha
2057,Ossa de Montiel,Albacete,Castilla-La Mancha
2058,Paterna del Madera,Albacete,Castilla-La Mancha
2060,Peñas de San Pedro,Albacete,Castilla-La Mancha
2059,Peñascosa,Albacete,Castilla-La Mancha
2061,Pétrola,Albacete,Castilla-La Mancha
2062,Povedilla,Albacete,Castilla-La Mancha
2901,Pozo Cañada,Albacete,Castilla-La Mancha
2063,Pozohondo,Albacete,Castilla-La Mancha
2064,Pozo-Lorente,Albacete,Castilla-La Mancha
2065,Pozuelo,Albacete,Castilla-La Mancha
2066,"Recueja, La",Albacete,Castilla-La Mancha
2067,Riópar,Albacete,Castilla-La Mancha
2068,Robledo,Albacete,Castilla-La Mancha
2069,"Roda, La",Albacete,Castilla-La Mancha
2070,Salobre,Albacete,Castilla-La Mancha
2071,San Pedro,Albacete,Castilla-La Mancha
2072,Socovos,Albacete,Castilla-La Mancha
2073,Tarazona de la Mancha,Albacete,Castilla-La Mancha
2074,Tobarra,Albacete,Castilla-La Mancha
2075,Valdeganga,Albacete,Castilla-La Mancha
2076,Vianos,Albacete,Castilla-La Mancha
2077,Villa de Ves,Albacete,Castilla-La Mancha
2078,Villalgordo del Júcar,Albacete,Castilla-La Mancha
2079,Villamalea,Albacete,Castilla-La Mancha
2080,Villapalacios,Albacete,Castilla-La Mancha
2081,Villarrobledo,Albacete,Castilla-La Mancha
2082,Villatoya,Albacete,Castilla-La Mancha
2083,Villavaliente,Albacete,Castilla-La Mancha
2084,Villaverde de Guadalimar,Albacete,Castilla-La Mancha
2085,Viveros,Albacete,Castilla-La Mancha
2086,Yeste,Albacete,Castilla-La Mancha
3001,Adsubia,Alicante/Alacant,Comunidad Valenciana
3002,Agost,Alicante/Alacant,Comunidad Valenciana
3003,Agres,Alicante/Alacant,Comunidad Valenciana
3004,Aigües,Alicante/Alacant,Comunidad Valenciana
3005,Albatera,Alicante/Alacant,Comunidad Valenciana
3006,Alcalalí,Alicante/Alacant,Comunidad Valenciana
3007,Alcocer de Planes,Alicante/Alacant,Comunidad Valenciana
3008,Alcoleja,Alicante/Alacant,Comunidad Valenciana
